id,symbol,timeframe,rank,buy_fast,buy_slow,sell_fast,sell_slow,performance,total_return,sharpe_ratio,max_drawdown,num_trades,win_rate,date_from,date_to,timestamp
478,SPY,2m,52,37,62,137,237,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
479,SPY,2m,53,37,62,137,242,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
480,SPY,2m,54,37,62,137,247,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
481,SPY,2m,55,37,62,137,252,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
482,SPY,2m,56,37,62,142,222,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
483,SPY,2m,57,37,62,142,227,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
484,SPY,2m,58,37,62,142,232,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
485,SPY,2m,59,37,62,142,237,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
486,SPY,2m,60,37,62,142,242,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
487,SPY,2m,61,37,62,142,247,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
488,SPY,2m,62,37,62,142,252,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
489,SPY,2m,63,37,62,162,242,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
490,SPY,2m,64,37,62,162,247,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
491,SPY,2m,65,37,62,162,252,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
492,SPY,2m,66,37,62,167,247,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
493,SPY,2m,67,37,62,167,252,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
494,SPY,2m,68,127,132,27,122,-0.0009475626829578143,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
495,SPY,2m,69,57,72,27,172,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
496,SPY,2m,70,57,72,27,177,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
